id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	34	8	26	34	0	0
2	0	110	110	163	44	9	53	0	0
3	0	433	433	434	1	0	1	0	0
4	0	469	469	525	48	8	56	0	0
5	0	640	640	679	17	22	39	0	0
6	0	880	880	911	31	0	31	0	0
7	0	982	982	1019	27	10	37	0	0
8	0	1103	1103	1116	13	0	13	0	0
10	0	1145	1145	1147	2	0	2	0	0
9	0	1131	1131	1195	32	32	64	0	0
11	0	1319	1319	1344	25	0	25	0	0
12	0	1609	1609	1610	1	0	1	0	0
13	0	1906	1906	2147	73	166	241	2	0
14	0	2130	2130	2368	116	122	238	0	0
15	0	2807	2807	2812	5	0	5	0	0
16	0	3026	3026	3049	23	0	23	0	0
18	0	3305	3305	3327	12	0	22	10	0
17	0	3194	3194	3340	95	39	146	12	0
19	0	3438	3438	3452	14	0	14	0	0
20	0	3692	3692	3763	59	12	71	0	0
0	0	0	0	3763	3117	0	3763	646	0
