id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	0	79	79	96	17	0	17	0	0
1	0	0	0	121	57	61	121	3	0
3	0	109	109	164	27	28	55	0	0
4	0	691	691	809	94	24	118	0	0
5	0	811	811	816	5	0	5	0	0
6	0	860	860	863	3	0	3	0	0
7	0	947	947	999	44	8	52	0	0
8	0	1052	1052	1053	1	0	1	0	0
10	0	1642	1642	1653	7	4	11	0	0
9	0	1510	1510	1686	50	126	176	0	0
12	0	1811	1811	1835	11	13	24	0	0
11	0	1756	1756	1858	90	1	102	11	0
13	0	1878	1878	2002	93	31	124	0	0
14	0	2212	2212	2257	33	12	45	0	0
16	0	2416	2416	2506	33	39	90	18	0
15	0	2329	2329	2676	240	76	347	31	0
18	0	2794	2794	2798	4	0	4	0	0
17	0	2786	2786	2890	97	3	104	4	0
19	0	2875	2875	2968	70	8	93	15	0
20	0	2980	2980	2994	14	0	14	0	0
0	0	0	0	2994	2004	0	2994	990	0
